"﻿head","tail","relation","weight"
"Attribute:Discharge provider name","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Accessibility","CALCULATES","0.77"
"Attribute:Patient ID","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Accuracy","CALCULATES","0.73"
"QualityDimension:Accuracy","DataContext:Discharge Summaries","RELATED_TO","0.91"
"Attribute:Patient name","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.87"
"QualityDimension:Availability","DataContext:Discharge Summaries","RELATED_TO","0.532857"
"Attribute:Patient name","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Availability","CALCULATES","0.68"
"BaseMeasure:Cross-Field Validation","QualityDimension:Availability","CALCULATES","0.45"
"Attribute:Discharge summary text","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Availability","CALCULATES","0.57"
"Attribute:Discharge provider name","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Availability","CALCULATES","0.87"
"BaseMeasure:Missing Values","QualityDimension:Availability","CALCULATES","0.53"
"Attribute:Discharge date","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Availability","CALCULATES","0.8"
"Attribute:Discharge diagnoses","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Completeness","CALCULATES","0.2"
"QualityDimension:Completeness","DataContext:Discharge Summaries","RELATED_TO","0.565"
"Attribute:Discharge medications","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Completeness","CALCULATES","0.22"
"Attribute:Discharge summary text","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Completeness","CALCULATES","0.71"
"Attribute:Follow-up instructions","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Completeness","CALCULATES","0.96"
"Attribute:Patient name","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Correctness","CALCULATES","0.68"
"QualityDimension:Correctness","DataContext:Discharge Summaries","RELATED_TO","0.305"
"Attribute:Patient ID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Correctness","CALCULATES","0.11"
"Attribute:Patient ID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Currency","CALCULATES","0.89"
"QualityDimension:Currency","DataContext:Discharge Summaries","RELATED_TO","0.6125"
"Attribute:Patient name","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Currency","CALCULATES","0.56"
"Attribute:Follow-up instructions","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Currency","CALCULATES","0.78"
"Attribute:Discharge diagnoses","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Currency","CALCULATES","0.61"
"Attribute:Discharge medications","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Relevance","CALCULATES","0.83"
"QualityDimension:Relevance","DataContext:Discharge Summaries","RELATED_TO","0.485"
"BaseMeasure:Data Inconsistency","QualityDimension:Relevance","CALCULATES","0.15"
"Attribute:Discharge medications","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.19"
"QualityDimension:Security","DataContext:Discharge Summaries","RELATED_TO","0.2"
"Attribute:Discharge diagnoses","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.37"
"QualityDimension:Timeliness","DataContext:Discharge Summaries","RELATED_TO","0.485"
"Attribute:Follow-up instructions","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.44"
"BaseMeasure:Missing Values","QualityDimension:Traceability","CALCULATES","0.18"
"QualityDimension:Traceability","DataContext:Discharge Summaries","RELATED_TO","0.57"
"BaseMeasure:Data Entry Error","QualityDimension:Traceability","CALCULATES","0.78"
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.91"
"Attribute:Discharge provider name","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Understandability","CALCULATES","0.55"
"QualityDimension:Understandability","DataContext:Discharge Summaries","RELATED_TO","0.5625"
"Attribute:Discharge provider name","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Understandability","CALCULATES","0.89"
"Attribute:Follow-up instructions","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Understandability","CALCULATES","0.51"
"Attribute:Patient ID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Understandability","CALCULATES","0.97"
"Attribute:Follow-up instructions","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.64"
"QualityDimension:Usability","DataContext:Discharge Summaries","RELATED_TO","0.552"
"BaseMeasure:Cross-Field Validation","QualityDimension:Usability","CALCULATES","0.27"
"Attribute:Discharge date","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Usability","CALCULATES","0.44"
"Attribute:Discharge summary text","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Usability","CALCULATES","0.2"
"BaseMeasure:Data Comparison","QualityDimension:Usability","CALCULATES","0.24"
"Attribute:LastName","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:LastName","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Accessibility","CALCULATES","0.45"
"QualityDimension:Accessibility","DataContext:E-commerce","RELATED_TO","0.406667"
"Attribute:PaymentDate","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"Attribute:PaymentDate","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Accessibility","CALCULATES","0.57"
"Attribute:PaymentMethod","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"Attribute:PaymentMethod","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accessibility","CALCULATES","0.14"
"BaseMeasure:Duplication Check","QualityDimension:Accuracy","CALCULATES","0.63"
"QualityDimension:Accuracy","DataContext:E-commerce","RELATED_TO","0.51875"
"Attribute:PaymentDate","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"Attribute:PaymentDate","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Accuracy","CALCULATES","0.56"
"Attribute:Status","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Accuracy","CALCULATES","0.69"
"Attribute:TotalAmount","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.12"
"Attribute:Amount","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:Amount","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accuracy","CALCULATES","0.79"
"Attribute:ProductID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:ProductID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Accuracy","CALCULATES","0.74"
"Attribute:ProductID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"Attribute:ProductID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Accuracy","CALCULATES","0.66"
"Attribute:Comment","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"Attribute:Comment","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Accuracy","CALCULATES","0.59"
"Attribute:ProductID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"Attribute:ProductID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.1"
"QualityDimension:Availability","DataContext:E-commerce","RELATED_TO","0.343333"
"Attribute:Address","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Availability","CALCULATES","0.65"
"Attribute:TotalAmount","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Availability","CALCULATES","0.18"
"Attribute:TotalAmount","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Availability","CALCULATES","0.94"
"Attribute:Rating","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:Rating","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Availability","CALCULATES","0.74"
"Attribute:OrderID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:OrderID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Availability","CALCULATES","0.13"
"Attribute:LastName","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"Attribute:LastName","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Completeness","CALCULATES","0.1"
"QualityDimension:Completeness","DataContext:E-commerce","RELATED_TO","0.61"
"Attribute:ReviewID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"Attribute:ReviewID","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Completeness","CALCULATES","0.19"
"Attribute:ReviewID","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"Attribute:ReviewID","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Consistency","CALCULATES","0.21"
"QualityDimension:Consistency","DataContext:E-commerce","RELATED_TO","0.673333"
"Attribute:Rating","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:Rating","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.57"
"Attribute:Quantity","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Consistency","CALCULATES","0.32"
"Attribute:Status","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Consistency","CALCULATES","0.16"
"Attribute:Status","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Consistency","CALCULATES","0.57"
"Attribute:CustomerID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"Attribute:CustomerID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Consistency","CALCULATES","0.96"
"Attribute:Category","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:Category","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Consistency","CALCULATES","0.7"
"Attribute:ProductName","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"Attribute:ProductName","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Consistency","CALCULATES","0.53"
"Attribute:Comment","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:Comment","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.86"
"Attribute:LastName","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"Attribute:LastName","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Consistency","CALCULATES","0.35"
"Attribute:LastName","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"Attribute:LastName","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Consistency","CALCULATES","0.1"
"Attribute:FirstName","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:FirstName","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Consistency","CALCULATES","0.66"
"Attribute:OrderID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:OrderID","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Consistency","CALCULATES","0.99"
"Attribute:OrderDate","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"Attribute:OrderDate","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Consistency","CALCULATES","0.31"
"Attribute:Price","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:Price","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Consistency","CALCULATES","0.43"
"Attribute:Price","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"Attribute:Price","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Correctness","CALCULATES","0.15"
"QualityDimension:Correctness","DataContext:E-commerce","RELATED_TO","0.590833"
"BaseMeasure:Outliers Detection","QualityDimension:Correctness","CALCULATES","0.2"
"Attribute:PaymentMethod","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"Attribute:PaymentMethod","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.22"
"Attribute:OrderID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"Attribute:OrderID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Correctness","CALCULATES","0.45"
"BaseMeasure:Range Check","QualityDimension:Correctness","CALCULATES","0.96"
"Attribute:ProductName","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"Attribute:ProductName","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Correctness","CALCULATES","0.15"
"Attribute:Description","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"Attribute:Description","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Correctness","CALCULATES","0.7"
"BaseMeasure:Format Validity","QualityDimension:Correctness","CALCULATES","0.73"
"Attribute:Status","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Correctness","CALCULATES","0.46"
"Attribute:TotalAmount","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Correctness","CALCULATES","0.83"
"Attribute:Quantity","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Correctness","CALCULATES","0.69"
"BaseMeasure:Duplication Check","QualityDimension:Correctness","CALCULATES","0.75"
"Attribute:ReviewID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"Attribute:ReviewID","BaseMeasure:Range Check","HAS_BASEMEASURE",""
"BaseMeasure:Range Check","QualityDimension:Currency","CALCULATES","0.45"
"QualityDimension:Currency","DataContext:E-commerce","RELATED_TO","0.446"
"BaseMeasure:Format Validity","QualityDimension:Currency","CALCULATES","0.15"
"BaseMeasure:Duplication Check","QualityDimension:Currency","CALCULATES","0.4"
"Attribute:Description","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:Description","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Currency","CALCULATES","0.41"
"Attribute:OrderDate","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:OrderDate","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Currency","CALCULATES","0.39"
"Attribute:PaymentMethod","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:PaymentMethod","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Interpretability","CALCULATES","0.14"
"QualityDimension:Interpretability","DataContext:E-commerce","RELATED_TO","0.69"
"Attribute:PaymentDate","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:PaymentDate","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Interpretability","CALCULATES","0.52"
"Attribute:PaymentID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"Attribute:PaymentID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Interpretability","CALCULATES","0.29"
"Attribute:FirstName","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"Attribute:FirstName","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Interpretability","CALCULATES","0.66"
"Attribute:Description","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"Attribute:Description","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Interpretability","CALCULATES","0.14"
"Attribute:Description","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:Description","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Relevance","CALCULATES","0.15"
"QualityDimension:Relevance","DataContext:E-commerce","RELATED_TO","0.562"
"BaseMeasure:Format Validity","QualityDimension:Relevance","CALCULATES","0.4"
"Attribute:PaymentMethod","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"Attribute:PaymentMethod","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Relevance","CALCULATES","0.2"
"Attribute:PaymentMethod","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"Attribute:PaymentMethod","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Relevance","CALCULATES","0.42"
"Attribute:OrderDate","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"Attribute:OrderDate","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Relevance","CALCULATES","0.32"
"BaseMeasure:Missing Values","QualityDimension:Security","CALCULATES","0.27"
"QualityDimension:Security","DataContext:E-commerce","RELATED_TO","0.413333"
"Attribute:OrderID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:OrderID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.53"
"Attribute:PaymentMethod","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"Attribute:PaymentMethod","BaseMeasure:Duplication Check","HAS_BASEMEASURE",""
"BaseMeasure:Duplication Check","QualityDimension:Security","CALCULATES","0.57"
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.15"
"BaseMeasure:Null Count","QualityDimension:Security","CALCULATES","0.37"
"Attribute:Email","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:Email","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Security","CALCULATES","0.7"
"Attribute:LastName","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"Attribute:LastName","BaseMeasure:Cross-Field Validation","HAS_BASEMEASURE",""
"BaseMeasure:Cross-Field Validation","QualityDimension:Security","CALCULATES","0.42"
"BaseMeasure:Data Inconsistency","QualityDimension:Security","CALCULATES","0.6"
"Attribute:Amount","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:Amount","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Security","CALCULATES","0.32"
"Attribute:Address","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.23"
"QualityDimension:Timeliness","DataContext:E-commerce","RELATED_TO","0.565714"
"BaseMeasure:Cross-Field Validation","QualityDimension:Timeliness","CALCULATES","0.18"
"Attribute:TotalAmount","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Timeliness","CALCULATES","0.74"
"Attribute:Quantity","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Timeliness","CALCULATES","0.65"
"BaseMeasure:Data Comparison","QualityDimension:Timeliness","CALCULATES","0.46"
"BaseMeasure:Data Entry Error","QualityDimension:Timeliness","CALCULATES","0.92"
"Attribute:PaymentDate","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:PaymentDate","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Timeliness","CALCULATES","0.5"
"BaseMeasure:Null Count","QualityDimension:Traceability","CALCULATES","0.18"
"QualityDimension:Traceability","DataContext:E-commerce","RELATED_TO","0.43125"
"BaseMeasure:Data Inconsistency","QualityDimension:Traceability","CALCULATES","0.69"
"BaseMeasure:Range Check","QualityDimension:Traceability","CALCULATES","0.46"
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.7"
"Attribute:TotalAmount","BaseMeasure:Data Inconsistency","HAS_BASEMEASURE",""
"BaseMeasure:Data Inconsistency","QualityDimension:Traceability","CALCULATES","0.88"
"Attribute:CustomerID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"Attribute:CustomerID","BaseMeasure:Null Count","HAS_BASEMEASURE",""
"BaseMeasure:Null Count","QualityDimension:Traceability","CALCULATES","0.85"
"Attribute:Comment","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"Attribute:Comment","BaseMeasure:Missing Values","HAS_BASEMEASURE",""
"BaseMeasure:Missing Values","QualityDimension:Traceability","CALCULATES","0.12"
"BaseMeasure:Data Comparison","QualityDimension:Traceability","CALCULATES","0.3"
"Attribute:Category","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"Attribute:Category","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Understandability","CALCULATES","0.19"
"QualityDimension:Understandability","DataContext:E-commerce","RELATED_TO","0.514667"
"Attribute:Category","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"Attribute:Category","BaseMeasure:Format Validity","HAS_BASEMEASURE",""
"BaseMeasure:Format Validity","QualityDimension:Understandability","CALCULATES","0.31"
"BaseMeasure:Range Check","QualityDimension:Understandability","CALCULATES","0.76"
"Attribute:ProductID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"Attribute:ProductID","BaseMeasure:Data Entry Error","HAS_BASEMEASURE",""
"BaseMeasure:Data Entry Error","QualityDimension:Understandability","CALCULATES","0.45"
"Attribute:ProductName","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:ProductName","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"BaseMeasure:Data Comparison","QualityDimension:Understandability","CALCULATES","0.65"
"Attribute:Description","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"Attribute:Description","BaseMeasure:Outliers Detection","HAS_BASEMEASURE",""
"BaseMeasure:Outliers Detection","QualityDimension:Understandability","CALCULATES","0.85"
"Attribute:ReviewID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
"Attribute:ReviewID","BaseMeasure:Data Comparison","HAS_BASEMEASURE",""
